full_text,username,created_at,clean,english,Negatif,Pornografi,Ancaman,Sindiran,Diskriminasi,Neutral,Positif
@VIVAcoid Iya betul survei memenangkan PS DAN GIBRAN TETAP PRESIDENNYA ANIS DAN MUHAIMIN,saaleepp88,Mon Dec 25 10:56:40 +0000 2023,iya betul survei menang ps gibran tetap presiden anis muhaimin,"Yes, that's right, the survey won PS Gibran still President Anis Muhaimin",0,0,0,0,0,0,1
@liputan6dotcom Keberagaman ide dan sudut pandang Anies Baswedan dan Gus Muhaimin menciptakan diskusi yang membangun.,azzura26052000,Tue Dec 26 15:40:19 +0000 2023,agam ide sudut pandang anies baswedan gus muhaimin cipta diskusi bangun,"Agam Ideas Anies Baswedan's Point of View, Gus Muhaimin Creates Discussion, Build",0,0,0,0,0,1,0
"Untuk Meningkatkan Pemahaman Agar mudah Sosialisasi Teman Bisa Buka Website AMIN     Klik 👇👇👇 https://t.co/lyRdFVoG1A  Mari Terus Sosialisasi Ke Tetangga, Saudara &amp  Teman   Mari Menangkan Anies Muhaimin   #AniesMuhaimin2024 https://t.co/HYq9kc4RFz""",msw_andi,Mon Dec 25 10:50:09 +0000 2023,untuk tingkat paham agar mudah sosialisasi teman bisa buka website amin klik mari sosialisasi tetangga saudara teman mari menang anies muhaimin,"For the level of understanding to make it easy to socialize friends, you can open the website Amin, click Let's socialize neighbors, brothers, friends, let's win, Anies Muhaimin",0,0,0,0,0,0,1
@CNNIndonesia Gus Muhaimin dan Anies Baswedan telah mengukir jejak sebagai pemimpin yang membawa inovasi dalam dunia debat.,azzura26052000,Tue Dec 26 15:39:45 +0000 2023,gus muhaimin anies baswedan telah ukir jejak bagai pimpin bawa inovasi dalam dunia debat,Gus Muhaimin Anies Baswedan has carved a trail to lead innovation in the world of debate,0,0,0,0,0,1,0
"@ajengcute16__ Bismillah.. Amin, Anies -Muhaimin  Presiden dan wakil presiden RI 2024 - 2029. Aamiin... #presidenRI",ado_ono,Mon Dec 25 10:49:27 +0000 2023,bismillah amin anies muhaimin presiden wakil presiden ri amin,Bismillah Amin Anies Muhaimin President Vice President of the Republic of Indonesia Amin,0,0,0,0,0,1,0
@liputan6dotcom Kedalaman intelektual Anies Baswedan dan Gus Muhaimin terasa dalam setiap argumen yang mereka kemukakan.,auliarahma7838,Tue Dec 26 15:38:37 +0000 2023,dalam intelektual anies baswedan gus muhaimin asa dalam tiap argumen mereka muka,In Intellectual Anies Baswedan Gus Muhaimin Asa in Every Argument They Face,0,0,0,0,0,1,0
Tapi tak semua faham/sudi menuruti disiplin ini. Yang tahu hanya melulu mengikut tenggorokan sendiri.,itsmuhaiminlah,Mon Dec 25 10:49:22 +0000 2023,tapi tidak semua paham sudi turut disiplin yang tahu hanya melulu ikut tenggorok sendiri,But not all people are disciplined who know only to follow their own throats,0,0,0,0,0,1,0
@CNNIndonesia Anies Baswedan dan Gus Muhaimin adalah orator ulung yang mampu menyampaikan pesan dengan kejelasan dan kehangatan.,auliarahma7838,Tue Dec 26 15:38:02 +0000 2023,anies baswedan gus muhaimin adalah orator ulung mampu sampai pesan dengan jelas hangat,Anies Baswedan Gus Muhaimin is an accomplished orator able to get the message clearly warm,0,0,0,0,0,0,1
"@Fahrihamzah Amin, 1 putaran buat anis-muhaimin",budhyeatfish,Mon Dec 25 10:49:14 +0000 2023,amin putar anis muhaimin,Amen Play Anis Muhaimin,0,0,0,0,0,1,0
@liputan6dotcom Keterampilan komunikasi luar biasa Anies Baswedan dan Gus Muhaimin membawa pemahaman yang lebih dalam bagi setiap pendengar.,AnyaShelmo38932,Tue Dec 26 15:37:05 +0000 2023,terampil komunikasi luar biasa anies baswedan gus muhaimin bawa paham lebih dalam bagi tiap dengar,"Anies Baswedan's Extraordinary Communication Skills, Gus Muhaimin Brings Deeper Understanding to Every Listener",0,0,0,0,0,0,1
@detikcom Sosok kepemimpinan gus muhaimin melekat bgt kya lem alteko,IyahUhuy63135,Mon Dec 25 10:47:09 +0000 2023,sosok pimpin gus muhaimin lekat sekali kya lem alteko,The Figure of Gus Muhaimin is Very Attached Kya Lem Alteko,0,0,0,0,0,1,0
@CNNIndonesia Gus Muhaimin dan Anies Baswedan adalah model pemimpin yang membuktikan bahwa kecerdasan dan kepemimpinan dapat bersatu.,AnyaShelmo38932,Tue Dec 26 15:36:24 +0000 2023,gus muhaimin anies baswedan adalah model pimpin bukti bahwa cerdas pimpin dapat satu,Gus Muhaimin Anies Baswedan is a model of lead proof that smart lead can be one,0,0,0,0,0,1,0
@TommyPato7 @idextratime @bliblidotcom MU U NYA MUHAIMIN,BMmolven,Mon Dec 25 10:46:28 +0000 2023,mu nya muhaimin,In the name of the man,0,0,0,0,0,1,0
