full_text,username,created_at,clean,english,Negatif,Pornografi,Ancaman,Sindiran,Diskriminasi,Neutral,Positif
Rambut saya pernah hitam beneran lho coba tebak saya yg mana? https://t.co/74swK5SLRK,ganjarpranowo,Mon Feb 05 12:22:35 +0000 2024,rambut aku pernah hitam beneran coba tebak aku mana,"My hair was once black, actually, guess where I am;",0,0,0,0,0,1,0
Buat yang nanyain outfit Ketua Ganjar - Prof Mahfud selama debat nih Pasukin spill brand sama toko onlinenya Siapa tau mau beli terus mau dipake buat met gala &amp; support brand local A Thread https://t.co/SjASLGRkQ4,timpenguinnas,Mon Feb 05 10:03:49 +0000 2024,yang nanyain pakaian ketua ganjar prof mahfud lama debat pasukin spill brand sama toko onlinenya siapa tau beli mau dipake selamat gala dukung brand local a thread,Who asked Ganjar Chairman Prof. Mahfud Lama debates Pasukin spill brand with online store Who knows buy want to use it Happy Gala Support Local Brand A Thread,1,0,0,0,0,0,0
Alhamdulillah seluruh rangkaian debat telah tuntas. Visi misi dan program telah kami sampaikan. Program yang kita siapkan bukan asal-asalan. Banyak kajian dan pertimbangannya. Memperhatikan kebutuhan rakyat masukan intelektual dan kemampuan penganggaran. Terimakasih KPU RI https://t.co/dI63CHyIJM,ganjarpranowo,Mon Feb 05 07:45:59 +0000 2024,alhamdulilah seluruh rangkai debat telah tuntas visi misi program telah kami sampai program kita siap bukan asal asal banyak kaji timbang perhati butuh rakyat masuk intelektual mampu anggar terimakasih kpu ri,"Alhamdulilah the whole series of debates has been completed, the vision and mission of the program have been us, until our program is ready, not the origin of many careful weigh-in studies, need the people to enter intellectuals, able to fence, thank you KPU RI",0,0,0,0,0,0,1
60 ton sampah perhari yang dikelola. @waste4change Bekasi ini sudah menjalin kerjasama dg 200 lembaga dan 1.500 rumah tangga. Keren. Super keren. Semua sampah itu bisa diputar dan diolah untuk menjadi sumber ekonomi baru. Makasih ya mas June Rosano atas inspirasinya. Semoga https://t.co/ca5z6QuNqe,ganjarpranowo,Mon Feb 05 12:10:38 +0000 2024,ton sampah hari kelola bekas sudah jalin kerjasama lembaga rumah tangga keren sangat keren semua sampah itu bisa putar olah untuk jadi sumber ekonomi baru terimakasih kakak june rosano atas inspirasi moga,Tons of Garbage Used Management Day Has Established Cooperation with Cool Household Institutions Very Cool All the Waste Can Be Turned Into a New Source of Economy Thank you June Rosano for the inspiration Moga,0,0,0,0,0,0,1
harusnya pesta demokrasi yg bisa Memenangkan Harapan Rakyat dan hati rakyat tuh yg damai dan tenang seperti yg ditunjukkan oleh relawan #0103GerakBareng pas nobar debat kemarin.. jadi gak perlu tuh ribut-ribut atau menjatuhkan sana-sini. https://t.co/PtY6VJLkrL,nona_vonee,Mon Feb 05 11:50:59 +0000 2024,harus pesta demokrasi bisa menang harap rakyat hati rakyat damai tenang seperti yang tunjuk oleh rawan nobar debat kemarin jadi tidak perlu ribut ribut atau jatuh sana sini,"Must be a democratic party can win, hope the people's hearts are peaceful, calm as pointed out by Rawan nobar debate yesterday, so there is no need to make a fuss or fall here and there",0,0,0,0,0,0,1
Mas Ganjar mengadaptasi petuah pak Jokowi di 2019: jangan memilih pemimpin yg memiliki potongan diktator atau otoriter termasuk yg memiliki rekam jejak kejahatan HAM. Mas Ganjar mengingatkan pak Jokowi supaya konsisten kepada ucapannya sendiri. Tidak mencla mencle ! https://t.co/KQfrq9DVEP,islah_bahrawi,Mon Feb 05 07:24:47 +0000 2024,kakak ganjar adaptasi petuah bapak jokowi jangan pilih pimpin milik potong diktator atau otoriter masuk milik rekam jejak jahat ham kakak ganjar ingat bapak jokowi supaya konsisten kepada ucap sendiri tidak mencla mencle,"Brother Ganjar adapts Mr. Jokowi's advice not to choose to lead the cut, dictator or authoritarian belongs to the track record of human rights crimes Brother Ganjar remembers Mr. Jokowi to be consistent with his own words, not to mencla mencle",0,0,0,0,0,1,0
Vonis DKPP Putuskan Ketua KPU dkk Langgar Etik Berat ??!! Yang pada bilang Diskualifikasi hallo apa kabar 32rb surat suara tercoblos dan Surat suara Prabowo dibalik jadi nmr 3 Ganjar nmr 2 https://t.co/mIiPLFa5fB,yunitaterry3,Mon Feb 05 06:47:13 +0000 2024,vonis dkpp putus ketua kpu dsb langgar etik berat pada diskualifikasi halo apa kabar rb surat suara coblos surat suara prabowo balik jadi nmr ganjar nmr,"DKPP Verdict Terminated, KPU Chairman, etc., Violated Serious Ethics on Disqualification Halo, What's Up RB Ballot Voting Voting Prabowo Ballot Returns to NMR Ganjar NMR",0,0,0,0,0,1,0
Hongkong kompak dukungan ke Ganjar-Mahfud 85 % bersama Cak Lontong dan mas Joypray https://t.co/orS100dyUh,akupadi5,Mon Feb 05 07:59:47 +0000 2024,hongkong kompak dukung ganjar mahfud sama cak lontong kakak joypray,hongkong kompak dukung ganjar mahfud sama cak lontong kakak joypray,0,0,0,0,0,1,0
Pernyataan penutup di debat capres terakhir Ganjar Pranowo : Lima tahun yang lalu dalam debat capres 2019 saya tim kampanye @jokowi. Beliau menyampaikan dan kita diingatkan untuk tidak memilih calon yang punya potongan diktator dan otoriter dan yang punya rekam jejak pelanggar https://t.co/q0fomyRmCh,_Rizmaya__,Mon Feb 05 12:47:44 +0000 2024,nyata tutup debat capres akhir ganjar pranowo lima tahun lalu dalam debat capres aku grup kampanye beliau sampai kita ingat untuk tidak pilih calon punya potong diktator otoriter yang punya rekam jejak langgar,Actually closed the final presidential debate Ganjar Pranowo five years ago in the presidential debate I his campaign group until we remember not to vote for candidates who have a cut of authoritarian dictators who have a track record of violating,0,1,0,0,0,0,0
Ganjar Terbaik Semua capres bermulut manis ketika kampanye maka rekam jejak adalah pengujinya. Bang Adian Napitupulu antara lain mencontohkan Apakah mungkin seorang capres akan memberikan rasa aman jika dia sering melakukan kekerasan di masa lalu? #GanjarMahfud2024 https://t.co/pfVVZhHOST,YRadianto,Mon Feb 05 12:00:02 +0000 2024,ganjar baik semua capres mulut manis ketika kampanye maka rekam jejak adalah uji adik napitupulu antara lain contoh apakah mungkin orang capres akan beri rasa aman jika dia sering laku keras masa lalu,"Ganjar is good for all sweet-mouth presidential candidates during the campaign, so the track record is a test of Napitupulu's younger brother, among other examples, whether it is possible that presidential candidates will give a sense of security if he often sells hard in the past",0,1,0,0,0,0,0
