full_text,username,created_at,clean,english,sentimen,Pornografi,Ancaman,Sindiran,Diskriminasi
"@dedy_pram Pastilah, Prabowo Anies nggak punya prestasi...",MarahIchsan,Fri Dec 15 04:04:44 +0000 2023,pram pasti prabowo anies tidak punya prestasi,Pram Surely Prabowo Anies Has No Achievements,0,0,0,0,0
Suasana pedesaan memang selalu menyenangkan... udara segar dengan rimbunnya tumbuhan hijau... sungai jernih penuh ikan-ikan kecil sampai besar yg menarik ...  Angin Dieng yg Gacoan Adidas Semalem bukan Ordal Anies https://t.co/7BXHMzo2Kn,Agung_wiyo,Fri Dec 15 04:04:33 +0000 2023,suasana desa selalu senang udara segar dengan rimbun tumbuh hijau sungai jernih penuh ikan ikan kecil sampai besar tarik angin dieng gaco adidas semalem bukan ordal anies,"The atmosphere of the village is always happy, fresh air with lush green growth, clear river full of fish, small to big fish, pull the wind dieng gaco adidas semalem not ordal anies",2,0,0,0,0
Program anies hanyalah mengubah nama rumah sakit se Indonesia wkwk!!  JUNGKOOK IS COMING olivia Gacoan Daesang BANGTAN DEBUT Karina #BABYMONSTER #DeathsGame Wonbin BATTER UP 100M VIEWS https://t.co/q63OMtb3Ka,Alfakton_i,Fri Dec 15 04:04:31 +0000 2023,program anies hanya ubah nama rumah sakit indonesia jungkook adalah coming olivia gaco daesang bangtan debut karina wonbin batter atas views,Anies Program Just Change the Name of Jungkook Indonesian Hospital is Coming Olivia Gaco Daesang Bangtan Karina Wonbin Batter's Debut Over Views,1,0,0,0,0
@kumparan @aniesbaswedan anies... BERBOHONG DAN NIPU TANPA RASA BERSALAH,justtheway333,Fri Dec 15 04:04:27 +0000 2023,anies bohong nipu tanpa rasa salah,Anies lies nipu without a sense of guilt,1,0,0,0,0
Tidak Bicara Sesuai Fakta! Anies Dengan Lantang Sebut Lampung Tidak Mempunyai Alat Pemantau Polusi Udara   Gacoan | Anies | gempa | Daesang | Pagii | BATTER UP 100M VIEWS | pilihan terbaik | #SUHOinAAA | #NightHasComeEp8 | #NCTDREAMxSALMASALSABIL https://t.co/9ubCGtY30v,singgihabdrchmn,Fri Dec 15 04:04:26 +0000 2023,tidak bicara sesuai fakta anies dengan lantang sebut lampung tidak punya alat pantau polusi udara gaco anies gempa daesang pagi batter atas views pilih baik,"Not Speaking According to the Facts, Anies Loudly Says Lampung Does Not Have Air Pollution Monitoring Devices, Gaco Anies, Earthquake Daesang Morning, Batter Top Views, Choose Good:",1,0,0,0,0
"Prabowo Sindir Anies Baswedan: APBD Paling Besar, Tapi Kok Mas Anies Gagal Memimpin Jakarta!  Gacoan | Anies | gempa | Daesang | Pagii | BATTER UP 100M VIEWS | pilihan terbaik | #SUHOinAAA | #NightHasComeEp8 | #NCTDREAMxSALMASALSABIL https://t.co/5ftxD8kCsB",singgihabdrchmn,Fri Dec 15 04:04:25 +0000 2023,prabowo sindir anies baswedan apbd paling besar tapi kakak anies gagal pimpin jakarta gaco anies gempa daesang pagi batter atas views pilih baik,Prabowo Sindir Anies Baswedan The Biggest APBD But Brother Anies Failed to Lead Jakarta Gaco Anies Earthquake Daesang Morning Batter Top Views Choose Good,1,0,0,0,0
"@hasyimmah Alesan harus jelas dan pak anies sudah menjelaskan sejelas jelas nya,masih engga paham?dungu berarti",7f33229758ab489,Fri Dec 15 04:04:15 +0000 2023,alasan harus jelas bapak anies sudah jelas jelas jelas masih tidak paham dungu arti,"The reason must be clear, Mr. Anies is clear, it is clear, he still does not understand the meaning of stupid",0,0,0,0,0
@brochandra @ainunnajib Wow mantap sekali. Apakah ini artinya bro Anies akan menjadi presiden RI?,MisterMarmut,Fri Dec 15 04:04:13 +0000 2023,wow mantap sekali apakah arti bro anies akan jadi presiden ri,"wow, it's great whether Bro Anies will become President of the Republic of Indonesia",2,0,0,0,0
"@ajengcute16__ saya dulu belajar majas  kelas 8 SMP,saya paham apa yang dibilang pak anies. kalo yang ga paham mungkin belum mengenyam kelas 8.",id_edx,Fri Dec 15 04:04:12 +0000 2023,aku dulu ajar majas kelas smp aku paham apa bilang bapak anies kalau tidak paham mungkin belum kenyam kelas,"I used to teach junior high school class majas, I understand what Mr. Anies said, if you don't understand, maybe you haven't finished class",1,0,0,0,0
"@tvOneNews Kasian kiki, padahal itu fakta, memang si anies jago berkata kata saja demi menarik simpati, padahal implementasinya dijamin NOL. Cth waktu jd mentri dan gubernur aja, kerja nya standar banget. #AniesMuhaimin2024 #AMIN",bimasakti_2013,Fri Dec 15 04:04:03 +0000 2023,kasih kiki padahal itu fakta si anies jago kata kata demi tarik simpati padahal implementasi jamin nol cth jd tri gubernur kerja standar,Love Kiki even though it's a fact that Anies is good at words for sympathy even though the implementation guarantees zero cth jd tri governor work standards,2,0,0,0,0
