full_text,username,created_at,clean,english,sentimen,Pornografi,Ancaman,Sindiran,Diskriminasi
"Ganjar Pranowo dan Pak Mahfud MD, semoga kepemimpinan kalian memancarkan kehangatan seperti dalam keluarga. @titysl  GP 4Presiden https://t.co/MQtWaa6lbN",firdaraisyaa,Fri Dec 15 10:31:40 +0000 2023,ganjar pranowo bapak mahfud md moga pimpin kalian pancar hangat seperti dalam keluarga gp presiden,Ganjar Pranowo Mr. Mahfud MD Moga lead you to radiate warmly like in the GP President family,2,0,0,0,0
"Ganjar Pranowo, gubernur yang bisa menjadi inspirasi dengan kemampuannya menyatukan seni dan politik. @bakulojek  GP 4Presiden https://t.co/VWsZvfsvkz",zaraauliaaia,Fri Dec 15 10:31:40 +0000 2023,ganjar pranowo gubernur bisa jadi inspirasi dengan mampu satu seni politik gp presiden,"Ganjar Pranowo, Governor Can Be an Inspiration by Being Able to Be a Political Art of Presidential GP",2,1,0,0,0
Kebersamaan Ganjar dan Mahfud sebagai tim adalah kunci keberhasilan untuk memajukan Indonesia. @urcutebaby_  GP 4Presiden https://t.co/D2MWaMbWrg,adamalvnto1,Fri Dec 15 10:31:39 +0000 2023,sama ganjar mahfud bagai grup adalah kunci hasil untuk maju indonesia gp presiden,Sama Ganjar Mahfud as Group is Key Results for Advancing Indonesia GP President,1,0,0,0,0
Mengagumi betapa Mas Ganjar mampu menjaga keseimbangan antara tugas sebagai pemimpin dan peran sebagai kepala keluarga. @thvusergf  GP 4Presiden https://t.co/FDET6BxdUX,ZivaOktavia,Fri Dec 15 10:31:38 +0000 2023,kagum betapa kakak ganjar mampu jaga imbang antara tugas bagai pimpin peran bagai kepala keluarga gp presiden,It's amazing how much brother CanaR is able to keep a balance between the duties of leading the role of the head of the President's GP family,2,0,0,0,0
Semoga Ganjar Pranowo dan Mahfud MD dapat membawa semangat kebersamaan ke dalam kebijakan nasional. @BilaMuktadin  GP 4Presiden https://t.co/lfbDGm2dL5,dindafiitriii,Fri Dec 15 10:31:38 +0000 2023,moga ganjar pranowo mahfud md dapat bawa semangat sama dalam bijak nasional gp presiden,Moga Ganjar Pranowo Mahfud MD Can Bring the Same Spirit in the National Wisdom GP President,1,0,0,0,0
Insana NTT rapatkan barisan dukung Ganjar-Mahfud  #SahabatGanjar #GanjarPranowo #Ganjar #MenangkanGanjar #GenerasiGotongRoyong https://t.co/bLVhkZktCp,GanjarPranowoo,Fri Dec 15 10:31:35 +0000 2023,insana ntt rapat baris dukung ganjar mahfud,Insana ntt report baris dukung ganjar mahfud,1,0,0,0,0
Sukses untuk Mas Ganjar Pranowo dan Pak Mahfud MD. Semoga kepemimpinan mereka membawa Indonesia ke puncak kejayaan. @TaufikH28_  GP 4Presiden https://t.co/XfxMQTuWuY,AjiRama48_,Fri Dec 15 10:31:34 +0000 2023,sukses untuk kakak ganjar pranowo bapak mahfud md moga pimpin mereka bawa indonesia puncak jaya gp presiden,Success for Brother Ganjar Pranowo Mr. Mahfud MD Moga Leads them to Bring Indonesia Puncak Jaya GP President,2,0,0,0,0
Sukses selalu untuk Mas Ganjar Pranowo dan Pak Mahfud MD! Mereka adalah tim yang berpotensi membawa kemajuan besar untuk Jatim. @stvrlight09  GP 4Presiden https://t.co/xYsz7Dr3Bu,shivacheziiy,Fri Dec 15 10:31:33 +0000 2023,sukses selalu untuk kakak ganjar pranowo bapak mahfud md mereka adalah grup potensi bawa maju besar untuk jatim gp presiden,"Success is always for Brother Ganjar Pranowo, Mr. Mahfud MD, they are a potential group Bring Big Forward for East Java GP President",2,0,0,0,0
"@Prihati_utami Wah, tambah tua nih! Selamat ulang tahun, bro Alam Ganjar! Semoga makin jadi pribadi yang keren!",ihgajels,Fri Dec 15 10:31:33 +0000 2023,utami tambah tua selamat ulang tahun bro alam ganjar moga makin jadi pribadi keren,Utami Gets Old Happy Birthday Bro Alam Ganjar Moga Makin Become a Cool Person,2,0,0,0,0
Suksesnya Ganjar Pranowo dalam bercanda membuktikan bahwa pemimpin yang ceria juga mampu membuat keputusan bijak. @baiqemi72  GP 4Presiden https://t.co/FhjzDyw9HF,hilmanputr80122,Fri Dec 15 10:31:32 +0000 2023,sukses ganjar pranowo dalam canda bukti bahwa pimpin ceria mampu buat putus bijak gp presiden,Ganjar Pranowo's Success in Joking Proves that Ceria Leaders Can Break Up the Presidential GP,1,0,0,0,0
