full_text,username,created_at,clean,english,sentimen,Pornografi,Ancaman,Sindiran,Diskriminasi
Ikut-ikutan tren cobain advice quiz Capres-cawapres Daaaan hasil rekomendasinya buat saya: 50% Anies-Cak Imin 38% Ganjar-Mahfud 12% Prabowo-Gibran Btw yang pengin cobain quiznya bisa langsung klik https://t.co/HYhDB4DkDI ga perlu pake daftar atau login. https://t.co/AZmt6zyzji,AgusMagelangan,Sat Jan 27 10:29:37 +0000 2024,ikut ikut tren cobain advice kuis capres cawapres daaaan hasil rekomendasi aku anies cak imin ganjar mahfud prabowo gibran omong ingin cobain quiznya bisa langsung klik tidak perlu pakai daftar atau masuk,"Join the Trend Try Advice Quiz for Vice President Candidates Daaaan My Recommendation Results Anies Cak Imin Ganjar Mahfud Prabowo Gibran Nonsense Want to Try the Quiz You Can Click Immediately, No Need to Use Register or Login",1,1,0,0,0
@RcyberProj0 @budimuni98 @Gerindra @gibran_tweet @prabowo @handoko2411 @Projo_Pusat @FALDA81 Di subang jabar loh ini yg katanya jabar 60% masih yakin 1 putaran https://t.co/9UGDIEXjfQ,SastroDimedjo3,Sat Jan 27 15:26:00 +0000 2024,tweet pusat subang jabar loh yang kata jabar masih yakin putar,Tweet the West Java Subang Center Loh that the word West Java is still sure to rotate,1,0,0,0,0
@davidnurbianto Ga sopan Prabowo lg ngomong https://t.co/vEt4qIVNTe,MKuntukGIBRAN,Sat Jan 27 06:07:38 +0000 2024,tidak sopan prabowo ngomong,tidak sopan prabowo ngomong,1,0,0,0,0
Mbaknya yg nanya ada ada aja kan mas Gibran jadi cawapres juga karena permainan orang dalam dalam istana https://t.co/70DC8UD3UY,DS_yantie,Sat Jan 27 13:06:38 +0000 2024,kakak tanya ada ada kan kakak gibran jadi cawapres karena main orang dalam dalam istana,"Brother asked, is there a brother Gibran who became vice president because he played insiders in the palace",1,0,0,0,0
Ok gasss....... Khusus pendukung Prabowo Gibran tinggalkan jejak saya akan follback pelan pelan Sambil ngopiiiii https://t.co/kUXys9C82k,selflove_LyN,Sat Jan 27 11:02:46 +0000 2024,ok gas khusus dukung prabowo gibran tinggal jejak aku akan follback pelan pelan sambil ngopiiiii,ok gas special support prabowo gibran stay trail i will follback slowly while drinking coffee,1,0,0,0,0
Acara Gibran Suryaning Sanur di Pantai Mertasari Sanur Bali tadi pagi dihadiri oleh puluhan ribu pendukung nya https://t.co/Sk2Sop1BFW,Twillight_Loid,Sat Jan 27 05:54:10 +0000 2024,acara gibran suryaning sanur pantai mertasari sanur bal tadi pagi hadir oleh puluh ribu dukung,Gibran Suryaning Sanur event Mertasari Beach Sanur Bal this morning was attended by tens of thousands of supporters,1,0,0,0,0
Terlepas dari pandangan lu ke Prabowo lu harus akuin Gibran itu orangnya freak banget untuk jadi cawapres. Aneh banget tu orang. Untuk jadi ketua BEM kampus aja aneh dia. Kaya wibu-wibu kurang gaul gak sih.,kontomulyo_,Sat Jan 27 05:10:54 +0000 2024,lepas pandang lu prabowo lu harus akuin gibran itu orang freak untuk jadi cawapres aneh itu orang untuk jadi ketua bem kampus aneh dia seperti wibu wibu kurang gaul tidak,"From Lu Prabowo's point of view, Lu must admit that Gibran is a freak person to be vice president, strange is a person to be the head of BEM Strange campus, he is like a weeb, weeb is less slang, not",0,1,0,0,0
Disukai begini Min @prabowo @gibran_tweet https://t.co/hDI5O8pogf,GibraltarNc,Sat Jan 27 03:58:13 +0000 2024,suka begini admin tweet,suka begini admin tweet,1,0,0,0,0
Gak ada foto gibran https://t.co/V4oo3S3dKj,UmarSyadatHsb__,Sat Jan 27 11:28:24 +0000 2024,tidak ada foto gibran,No photos of Gibran,1,0,0,0,0
Pagi tadi mengawali hari di pantai Sanur Bali dengan serangkaian kegiatan tradisi mulai dari mendengarkan pembacaan Adi Parwa sebagai Parwa atau Episoda pertama dan utama dari Itihasa Mahabharata yang menjadi bukti betapa luhur dan kayanya literasi dan budaya tutur nusantara. https://t.co/mSLS3JsP64,gibran_tweet,Sat Jan 27 05:06:20 +0000 2024,pagi tadi awal hari pantai sanur bal dengan rangkai giat tradisi mulai dengar baca adik parwa bagai parwa atau episoda pertama utama itihasa mahabharata jadi bukti betapa luhur seperti literasi budaya tutur nusantara,"This morning, at the beginning of the day, Sanur Bal Beach with a series of active traditions began to hear read Parwa's sister like a parwa or the main first episoda of Itihasa Mahabharata, so proof of how noble it is like cultural literacy of the archipelago speech",1,0,0,0,1
Gini lho kampanye riang gembira Ada upin ipin pak gemoy bobby naruto dll meriah banget di JCC Pidato Prabowo Gibran yang ditungguin .. Biar TL adem ️ https://t.co/2TmKmcl3Y0,NyaiiBubu,Sat Jan 27 15:24:25 +0000 2024,gin kampanye riang gembira ada upin ipin bapak gemoy bobby naruto riah di jcc pidato prabowo gibran ditungguin tl adem,Gin Campaign Joyful Ada Upin Ipin Mr. Gemoy Bobby Naruto Riah at JCC Prabowo Gibran's Speech Awaited TL Adem,1,0,0,0,0
Kampanye Prabowo - Gibran di Sumenep PECAH!! https://t.co/rQuXuSOeX0,03__nakula,Sat Jan 27 13:47:14 +0000 2024,kampanye prabowo gibran sumenep pecah,Prabowo Gibran Sumenep's campaign breaks,1,0,0,0,0
