full_text,username,created_at,clean,english,sentimen,Pornografi,Ancaman,Sindiran,Diskriminasi
"@andre_rosiade eh botak, bilang ke capres lu dulu dia ngobrol ama anies bahas tentang komitmen dia untuk nuntasin dibjakarta selama dia ngejabat dan gamau nyalonin dalam bentuk apapun. DI PILPRES 2019 KARENAAA UDH KOMITMEN AMA PAK PRABOWO MAU FOKUS DI JAKARTAAA DULU JADI GUBERNUR  GEMES JUGA GW",Yhafidzun15,Fri Dec 15 04:10:46 +0000 2023,rosiade botak ke capres lu dulu dia ngobrol anies bahas tentang komitmen dia untuk nuntasin dibjakarta lama dia ngejabat gamau nyalonin dalam bentuk apa pilpres karenaaa sudah komitmen bapak prabowo fokus jakartaaa dulu jadi gubernur gemes aku,Rosiade Bald to Presidential Candidate Lu He used to chat with Anies to discuss about his commitment to nuntasin in Bjakarta for a long time he served as Gamau Nyalonin in what form the presidential election was because it was Mr. Prabowo's commitment to focus on Jakarta first to be the governor of Gemes I,1,0,0,0,0
"Elektabilitas tembus 45 persen, AHY: Prabowo bisa menang satu putaran. mua  AgusYudhoyono PDemokrat Demokrat Bareng AHY https://t.co/ahXm97i7Q6",Iza_Zot,Fri Dec 15 04:10:46 +0000 2023,elektabilitas tembus persen ahy prabowo bisa menang satu putar mua agusyudhoyono pdemokrat demokrat bareng ahy,"Electability Breaks AHY Percent, Prabowo Can Win One Play Mua Agusyudhyono, Democratic Democrat with AHY",1,0,0,0,0
"Beri pujian ke AHY, Prabowo: Pemimpin yang hebat untuk bangsa Indonesia. muj  PDemokrat AgusYudhoyono Demokrat Bareng AHY https://t.co/FiA3yWOcks",Iza_Zot,Fri Dec 15 04:10:43 +0000 2023,beri puji ahy prabowo pimpin hebat untuk bangsa indonesia muj pdemokrat agusyudhoyono demokrat bareng ahy,Praise AHY Prabowo for Great Leadership for the Indonesian Nation MUJ Pdemokrat Agussyudhoyono Demokrat with AHY,2,0,0,0,0
@kurawa jokowi hebat....setuju tapi melihat penampilan prabowo di debat 1.... beliau salah pilih orang...,romobing,Fri Dec 15 04:10:41 +0000 2023,jokowi hebat tuju tapi lihat tampil prabowo debat beliau salah pilih orang,"Jokowi is Great to Go But Look at Prabowo's Performance, Debate, He Chose the Wrong People",1,0,0,0,0
Prabowo prediksi AHY akan jadi pemimpin di tingkat nasional. `fc  AgusYudhoyono PDemokrat Demokrat Bareng AHY https://t.co/oKY0BTcGTb,Iza_Zot,Fri Dec 15 04:10:38 +0000 2023,prabowo prediksi ahy akan jadi pimpin tingkat nasional fc agusyudhoyono pdemokrat demokrat bareng ahy,Prabowo Predicts AHY to Lead National Level FC Agusyudhoyono Democratic Pdemokrat Together with AHY,1,0,0,0,0
"@yuliaaanidiya_ Acara hari ini seru banget, Prabowo, SBY, Djoko Suyanto, dan Sutanto dari Alumni Akabri 1970-1973 hadir semua! dekade08",ZahariTasya,Fri Dec 15 04:10:35 +0000 2023,acara hari seru prabowo surabaya djoko suyanto sutanto alumni akabri hadir semua dekade,Prabowo Surabaya Exciting Day Event Djoko Suyanto Sutanto AKABRI Alumni Present All Decades,1,0,0,0,0
@gibran_gen @gibran_tweet @prabowo warga Indonesia butuh sosok pemimpin yang seperti Mas Gibran adanya,Ratu_0509,Fri Dec 15 04:10:34 +0000 2023,gen tweet warga indonesia butuh sosok pimpin seperti kakak gibran ada,Gen Tweet Indonesians Need a Lead Figure Like Gibran's Brother There,1,0,0,0,0
Demokrat Sumsel siap menangkan pasangan Prabowo-Gibran di pilpres 2024. ]vh  PDemokrat AgusYudhoyono Demokrat Bareng AHY https://t.co/D96wEP7W7A,Iza_Zot,Fri Dec 15 04:10:33 +0000 2023,demokrat sumsel siap menang pasang prabowo gibran pilpres vh pdemokrat agusyudhoyono demokrat bareng ahy,demokrat sumsel siap menang pasang prabowo gibran pilpres vh pdemokrat agusyudhoyono demokrat bareng ahy,1,1,0,0,0
"Emang parah dan menjijikan sih pembunuhan karakter dan pelecehan personal Anies ke Prabowo saat debat kemaren. Pak GP aja mo nanya masalah ham pakai kata halus dan minta maaf dulu seblmnya, makanya Prabowo gak serang balik ke GP😏",OliviaCath1540,Fri Dec 15 04:10:32 +0000 2023,memang parah jijik bunuh karakter leceh pribadi anies prabowo saat debat kemarin bapak gp ingin tanya masalah ham pakai kata halus minta maaf dulu seblmnya makanya prabowo tidak serang balik gp,"It was Severe Disgust to Kill Anies Prabowo's Personal Abuse Character During the debate yesterday, Mr. GP wanted to ask about human rights problems using soft words, apologize first so Prabowo did not attack back GP",0,0,0,0,0
"@yuliaaanidiya_ Ketua Tim Komunikasi TKN Prabowo-Gibran, Budisatrio Djiwandono: Prabowo tetap serius di tugas Menhan menjelang debat pertama Capres. dekade08",hyunaindira,Fri Dec 15 04:10:32 +0000 2023,ketua grup komunikasi tkn prabowo gibran budisatrio djiwandono prabowo tetap serius tugas menhan jelang debat pertama capres dekade,Head of TKN Prabowo Communication Group Gibran Budisatrio Djiwandono Prabowo Remains Serious Duty of Defense Minister Ahead of First Debate of Presidential Candidate Decade,1,0,0,0,0
"Program Prabowo membawa perubahan positif bagi industri nasional, dengan peluang ekspor yang semakin terbuka.   #02UntukIndonesiaMaju  17Program PrioritasPraGibs",anggitaoktt,Fri Dec 15 04:10:31 +0000 2023,program prabowo bawa ubah positif bagi industri nasional dengan peluang ekspor makin buka program prioritaspragibs,Prabowo Program Brings Positive Change to National Industry with Export Opportunities Increasingly Opens Pragibs Priority Program,2,0,0,0,0
AHY optimis Prabowo akan wujudkan perubahan pada Indonesia. f\t  AgusYudhoyono PDemokrat Demokrat Bareng AHY https://t.co/aJKsgwF9B4,Iza_Zot,Fri Dec 15 04:10:31 +0000 2023,ahy optimis prabowo akan wujud ubah indonesia f agusyudhoyono pdemokrat demokrat bareng ahy,ahy optimis prabowo akan wujud ubah indonesia f agusyudhoyono pdemokrat demokrat bareng ahy,1,0,0,0,0
"Hadiri Perayaan Ultah Prabowo, AHY: Semoga Beliau Terpilih Menjadi Presiden 2024. ely  PDemokrat AgusYudhoyono Demokrat Bareng AHY https://t.co/TZM3XXvouK",Iza_Zot,Fri Dec 15 04:10:28 +0000 2023,hadir raya ultah prabowo ahy moga beliau pilih jadi presiden ely pdemokrat agusyudhoyono demokrat bareng ahy,Present at the polls Prabowo Ahy May he be elected President Ely Pdemocrat Agusyudhoyono Democrat Bareng Ahy,1,0,0,0,0
"Hbd mba @Deasycii sehat, sukses dan gemoy selalu... 🙏 Satu lagi neh Min @Gerindra pendukungmu dan pendukung pak @prabowo ultah. Kasih ucapan jg y min https://t.co/JGsGgpQt7a",dJokoTingkir99,Fri Dec 15 04:10:26 +0000 2023,hbd kakak sehat sukses gemoy selalu satu neh admin dukung dukung bapak ultah kasih ucap juga iya admin,HBD Healthy Brother Success Gemoy is always one neh admin support support Mr. Birthday Love also said yes admin,2,0,0,0,0
@yuliaaanidiya_ Prabowo Subianto mendapatkan banyak dukungan dari artis maupun konten kreator. dekade08,rafifknzoo,Fri Dec 15 04:10:24 +0000 2023,prabowo subianto dapat banyak dukung artis maupun konten kreator dekade,Prabowo Subianto Can Support Many Artists and Content Creators of the Decade,2,0,0,0,0
"Basis lama kembali, elektabilitas Prabowo makin solid jelang pilpres 2024. jl_  PDemokrat AgusYudhoyono Demokrat Bareng AHY https://t.co/CxD0BuDZzm",Iza_Zot,Fri Dec 15 04:10:24 +0000 2023,basis lama kembali elektabilitas prabowo makin solid jelang pilpres jl pdemokrat agusyudhoyono demokrat bareng ahy,basis lama kembali elektabilitas prabowo makin solid jelang pilpres jl pdemokrat agusyudhoyono demokrat bareng ahy,1,0,0,0,0
"@erickthohir @prabowo Abis APBN buat kampanye mulu,tohir emang bangke",ErwinRockerkids,Fri Dec 15 04:10:23 +0000 2023,apbn kampanye selalu tohir memang bangke,The campaign state budget is always tohir indeed bangke,1,0,0,0,0
"Prabowo ulang tahun, AHY doakan Agar menjadi Presiden 2024.. gqr  AgusYudhoyono PDemokrat Demokrat Bareng AHY https://t.co/hQTZavcDnU",Iza_Zot,Fri Dec 15 04:10:21 +0000 2023,prabowo ulang tahun ahy doa agar jadi presiden gqr agusyudhoyono pdemokrat demokrat bareng ahy,Prabowo AHY Birthday Prayer to Become President of GQR Agusyudhoyono Democratic Democrat with AHY,1,0,0,0,0
"Cawapres KIM Wewenang Mutlak Capres, AHY: Demokrat Usulkan Khofifah Cawapres Prabowo.. wn_  PDemokrat AgusYudhoyono Demokrat Bareng AHY https://t.co/npk2h2bH75",Iza_Zot,Fri Dec 15 04:10:19 +0000 2023,cawapres kim wewenang mutlak capres ahy demokrat usul khofifah cawapres prabowo wn pdemokrat agusyudhoyono demokrat bareng ahy,cawapres kim wewenang mutlak capres ahy demokrat usul khofifah cawapres prabowo wn pdemokrat agusyudhoyono demokrat bareng ahy,1,0,0,0,0
@ESawela Semangat besar terpancar dari 17 Program Prioritas Prabowo-Gibran untuk negeri tercinta.  #02UntukIndonesiaMaju  17Program PrioritasPraGibs,Sanjayawikarta,Fri Dec 15 04:10:19 +0000 2023,semangat besar pancar program prioritas prabowo gibran untuk negeri cinta program prioritaspragibs,Great Spirit Radiates Prabowo Gibran's Priority Program for the Land of Love Pragibs Priority Program,2,1,0,0,0
Pak Prabowo kata @PartaiSocmed emang Jumatan dimana 😁 https://t.co/D4DCcLfbaF,KepaArgawinata2,Fri Dec 15 04:10:19 +0000 2023,bapak prabowo kata memang jumat mana,Mr. Prabowo said which Friday,1,0,0,0,0
@PartaiSocmed @aniesbaswedan @prabowo Serem banget ya efek asam sulfat 😂😂😂,d380no,Fri Dec 15 04:10:17 +0000 2023,rem ya efek asam sulfat,rem yes sulfuric acid effect,1,0,0,0,0
